# Notes:
# Nm: total number of spectroscopic members
# N200: number of members within r200
# s200, s200err: velocity dispersion at r200 and uncertainty, in km/s
# m200, m200err: mass within r200 and uncertainty, in 1e14 Msun
# r200, r200err: radius enclosing 200 times the critical mass density, in Mpc
# Sdelta, Sdelta_{lo,hi}: DS test significance. Values without uncertainties are upper limits
# class: Relaxed or Disturbed
# ref: main spectroscopic references
# ned: main NED spectroscopic sources
name              |    z   |   Nm | N200 | s200 | s200err | m200 | m200err | r200 | r200err | Sdelta | Sdelta_lo | Sdelta_hi | class |   ref | ned
Abell 1033        | 0.1224 |  170 |   98 |  762 |      52 |  4.8 |     1.0 | 1.56 |    0.11 |   0.59 |      0.21 |      0.08 |     R |   3,4 | --  
Abell 1068        | 0.1393 |  104 |   32 |  740 |     160 |  4.3 |     2.8 | 1.50 |    0.32 |   0.93 |      0.04 |      0.04 |     R |   3,4 | --  
Abell 1132        | 0.1349 |  160 |   55 |  727 |      89 |  4.1 |     1.5 | 1.48 |    0.18 |   0.13 |      0.05 |      0.06 |     R |   3,4 | --  
Abell 115         | 0.1930 |   73 |   73 | 1028 |     108 | 11.2 |     3.5 | 2.03 |    0.21 |   0.24 |      0.07 |      0.02 |     R |    -- | 1  
Abell 119         | 0.0443 |  268 |  255 |  875 |      48 |  7.5 |     1.2 | 1.85 |    0.10 |   0.01 |       --  |       --  |     D |     3 | 7  
Abell 1234        | 0.1638 |   54 |   30 |  513 |      86 |  1.4 |     0.7 | 1.03 |    0.17 |   0.87 |      0.07 |      0.06 |     R |   3,4 | --  
Abell 1246        | 0.1920 |  207 |   87 |  956 |      84 |  9.1 |     2.4 | 1.89 |    0.17 |   0.01 |      0.00 |      0.01 |     D |   3,4 | --  
Abell 1285        | 0.1078 |   77 |   51 |  826 |      90 |  6.1 |     2.0 | 1.70 |    0.19 |   0.52 |      0.18 |      0.08 |     R |     5 | --  
Abell 133         | 0.0558 |   62 |   59 |  791 |      79 |  5.5 |     1.7 | 1.66 |    0.17 |   0.24 |      0.14 |      0.03 |     R |    -- | 21  
Abell 1361        | 0.1157 |  143 |   46 |  587 |      62 |  2.2 |     0.7 | 1.21 |    0.13 |   0.39 |      0.07 |      0.15 |     R |   3,4 | --  
Abell 1413        | 0.1418 |  124 |   65 |  881 |      81 |  7.3 |     2.0 | 1.78 |    0.16 |   0.72 |      0.23 |      0.07 |     R |   3,4 | --  
Abell 1650        | 0.0841 |  266 |  140 |  720 |      48 |  4.1 |     0.8 | 1.50 |    0.10 |   0.99 |      0.02 |      0.00 |     R |   3,5 | --  
Abell 1651        | 0.0847 |  214 |  138 |  903 |      51 |  8.0 |     1.4 | 1.87 |    0.11 |   0.65 |      0.16 |      0.04 |     R |    -- | 9,21  
Abell 1689        | 0.1847 |  252 |  235 | 1429 |      81 | 30.0 |     5.1 | 2.82 |    0.16 |   0.01 |       --  |        -- |     D |   3,4 | --       
Abell 1758        | 0.2772 |  133 |   34 |  744 |     107 |  4.1 |     1.8 | 1.41 |    0.20 |   0.11 |      0.03 |      0.06 |     R |   3,4 | --  
Abell 1763        | 0.2323 |  186 |  103 | 1130 |      81 | 14.6 |     3.1 | 2.18 |    0.16 |   0.01 |       --  |       --  |     D |   3,4 | --  
Abell 1781        | 0.0622 |   54 |   16 |  419 |      93 |  0.8 |     0.5 | 0.88 |    0.19 |   0.92 |      0.19 |      0.02 |     R |     3 | --  
Abell 1795        | 0.0629 |  191 |  133 |  778 |      51 |  5.2 |     1.0 | 1.63 |    0.11 |   0.26 |      0.09 |      0.04 |     R |     3 | 21  
Abell 1835        | 0.2506 |  195 |   41 |  762 |     106 |  4.5 |     1.9 | 1.46 |    0.20 |   0.66 |      0.23 |      0.06 |     R |   3,4 | --  
Abell 1914        | 0.1671 |  257 |  146 |  911 |      54 |  7.9 |     1.4 | 1.82 |    0.11 |   0.86 |      0.05 |      0.03 |     R |   3,4 | --  
Abell 1927        | 0.0953 |  138 |   58 |  725 |      58 |  4.2 |     1.0 | 1.50 |    0.12 |   0.25 |      0.08 |      0.02 |     R |   3,5 | --  
Abell 1942        | 0.2257 |   51 |   27 |  820 |     140 |  5.6 |     2.9 | 1.59 |    0.27 |   0.04 |      0.01 |      0.05 |     D |     3 | --  
Abell 1991        | 0.0587 |  175 |   99 |  553 |      45 |  1.9 |     0.5 | 1.17 |    0.10 |   0.12 |      0.05 |      0.09 |     R |   3,5 | --  
Abell 2029        | 0.0777 |  317 |  181 | 1152 |      58 | 16.6 |     2.5 | 2.39 |    0.12 |   0.01 |       --  |       --  |     D |     3 | 21  
Abell 2033        | 0.0796 |  190 |   88 |  911 |      69 |  8.3 |     1.9 | 1.89 |    0.14 |   0.03 |      0.01 |      0.03 |     D |     3 | 21  
Abell 2050        | 0.1202 |  164 |   82 |  854 |      80 |  6.7 |     1.9 | 1.74 |    0.16 |   0.34 |      0.03 |      0.06 |     R |   3,4 | --  
Abell 2055        | 0.1028 |  154 |   69 |  697 |      64 |  3.7 |     1.0 | 1.44 |    0.13 |   0.04 |      0.00 |      0.02 |     D |   3,4 | 21  
Abell 2064        | 0.0734 |   62 |   32 |  675 |     108 |  3.4 |     1.6 | 1.41 |    0.22 |   0.40 |      0.05 |      0.13 |     R |     3 | --  
Abell 2065        | 0.0725 |  219 |  164 | 1095 |      67 | 14.3 |     2.6 | 2.28 |    0.14 |   0.03 |      0.01 |      0.01 |     D |     3 | --  
Abell 2069        | 0.1139 |  331 |  146 |  966 |      63 |  9.7 |     1.9 | 1.98 |    0.13 |   0.01 |      0.00 |      0.00 |     D |   3,4 | --  
Abell 209         | 0.2090 |  110 |  110 | 1170 |      99 | 16.4 |     4.1 | 2.28 |    0.19 |   0.01 |      0.01 |      0.00 |     D |    -- | 27  
Abell 2104        | 0.1547 |   90 |   56 | 1081 |     126 | 13.3 |     4.6 | 2.17 |    0.25 |   0.22 |      0.09 |      0.09 |     R |    -- | 23  
Abell 2111        | 0.2281 |  256 |   83 |  738 |      66 |  4.1 |     1.1 | 1.43 |    0.13 |   0.46 |      0.04 |      0.09 |     R |   3,4 | 29  
Abell 2125        | 0.2466 |  141 |   55 |  857 |     122 |  6.4 |     2.7 | 1.65 |    0.23 |   0.46 |      0.26 |      0.01 |     R |    -- | 28  
